R_Abundance (%)	Reads	superfamily	phylum	class	order	family	genus	species
0.001	70	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum sublineola
0.002	166	Eukaryota	Microsporidia	-	-	Dubosqiidae	Hamiltosporidium	Hamiltosporidium tvaerminnensis
0.001	96	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis tanaceti
0.002	240	Eukaryota	-	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium minutum
0.001	74	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Gondwanamycetaceae	Knoxdaviesia	Knoxdaviesia proteae
0.001	106	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Grammothele	Grammothele lineata
0.027000000000000003	2674	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	-	Starmerella	Starmerella bacillaris
0.004	366	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:715
0.001	126	Bacteria	Firmicutes	-	-	-	-	Firmicutes bacterium CAG:94
0.001	104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis CAG:558
0.002	178	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta sp. UM 256
0.001	72	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus amargosae
0.003	254	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps polyrhachis-furcata
0.002	226	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces parabailii
0.001	58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Xuhuaishuia	Xuhuaishuia manganoxidans
0.003	316	Eukaryota	Ascomycota	Leotiomycetes	-	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
0.001	50	Eukaryota	-	-	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina sp. CCMP291
0.001	52	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea	Hoeflea olei
0.001	56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium neotropicale
0.003	272	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudoruegeria	Pseudoruegeria sabulilitoris
0.001	70	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia marinimaniae
0.001	78	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium valentinum
0.001	120	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Modestobacter	Modestobacter caceresii
0.001	68	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia sp. IFB-Z10
0.001	68	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	-	Ideonella	Ideonella sakaiensis
0.001	50	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus pulveris
0.002	164	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium malmesburyense
0.001	100	Eukaryota	-	Labyrinthulomycetes	-	Thraustochytriaceae	Schizochytrium	Schizochytrium sp. CCTCC M209059
0.006999999999999999	732	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	[Propionibacterium] namnetense
0.001	90	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Thielaviopsis	Thielaviopsis musarum
